,age,prob_m,num_m,expectancy_m,prob_f,num_f,expectancy_f,all,pdf
59,59,0.010622,86724,22.27,0.006325,91870,25.32,1502.260078,0.007511369952909804
60,60,0.011458,85802,21.51,0.006749,91289,24.48,1599.2287769999998,0.007996217938094267
61,61,0.01235,84819,20.75,0.007238,90673,23.64,1703.805824,0.00851910801558712
62,62,0.013235,83772,20.0,0.007776000000000001,90017,22.81,1808.6946120000002,0.009043556812515294
63,63,0.014097,82663,19.27,0.008368,89317,21.99,1912.7049670000001,0.009563613403767187
64,64,0.014979,81498,18.53,0.009032,88569,21.17,2020.71375,0.010103662320168301
65,65,0.015967,80277,17.81,0.009794,87769,20.36,2141.392445,0.010707061383256075
66,66,0.017109,78995,17.09,0.010673,86910,19.55,2279.115885,0.011395684960609356
67,67,0.018392,77644,16.38,0.011676,85982,18.76,2431.95428,0.01215988401286824
68,68,0.019836000000000003,76216,15.68,0.012815,84978,17.98,2600.8136460000005,0.013004188661986263
69,69,0.021465,74704,14.98,0.014105000000000001,83889,17.2,2786.775705,0.013934007568053098
70,70,0.023351,73100,14.3,0.015616,82706,16.44,2998.4949960000004,0.01499261382682154
71,71,0.025481999999999998,71393,13.63,0.017318,81414,15.69,3229.164078,0.0161459699180696
72,72,0.027794,69574,12.97,0.019118,80004,14.96,3463.256228,0.01731644150782455
73,73,0.030282,67640,12.33,0.020996,78475,14.24,3695.9355800000003,0.01847984904215918
74,74,0.033022,65592,11.7,0.023033,76827,13.54,3935.535315,0.019677858811945625
75,75,0.036201,63426,11.08,0.025412999999999998,75058,12.85,4203.533579999999,0.021017862546740308
76,76,0.039858,61130,10.48,0.028197000000000003,73150,12.17,4499.130090000001,0.022495858784485644
77,77,0.043891,58693,9.89,0.031313,71088,11.51,4802.073007,0.024010587397410046
78,78,0.048311,56117,9.33,0.034782,68862,10.86,5106.226471,0.02553136880138944
79,79,0.053228,53406,8.77,0.038689,66466,10.24,5414.197642,0.02707123891714968
80,80,0.058897000000000005,50564,8.24,0.043258,63895,9.63,5742.037818000001,0.02871045497795421
81,81,0.06536499999999999,47585,7.72,0.04849,61131,9.04,6074.635714999999,0.0303734598640674
82,82,0.072491,44475,7.23,0.054223,58167,8.48,6378.026466,0.03189042766772899
83,83,0.080288,41251,6.75,0.06044600000000001,55013,7.93,6637.276086,0.03318668777241326
84,84,0.088916,37939,6.3,0.067338,51688,7.41,6853.9506679999995,0.034270070715638944
85,85,0.098576,34566,5.87,0.075133,48207,6.91,7029.314547,0.03514689823095172
86,86,0.10943800000000001,31158,5.45,0.08403300000000001,44585,6.43,7156.480509000001,0.035782733929435664
87,87,0.121619,27748,5.06,0.094177,40838,5.98,7220.684338,0.03610375604742631
88,88,0.135176,24374,4.69,0.10563299999999999,36992,5.54,7202.3557599999995,0.03601211230871227
89,89,0.150109,21079,4.35,0.118407,33085,5.14,7081.643206,0.03540854394905664
90,90,0.166397,17915,4.03,0.132476,29167,4.76,6844.929747,0.034224965692920654
91,91,0.183997,14934,3.73,0.147801,25303,4.41,6487.619901,0.03243839991750821
92,92,0.202855,12186,3.46,0.164331,21563,4.09,6015.460383,0.030077580463923836
93,93,0.22291100000000003,9714,3.21,0.18201199999999998,18020,3.8,5445.213694,0.027226320613363594
94,94,0.244094,7549,2.99,0.200783,14740,3.54,4802.207026,0.02401125749861586
95,95,0.26509099999999997,5706,2.8,0.21975799999999998,11781,3.3,4101.578243999999,0.020508081145647106
96,96,0.285508,4193,2.63,0.23863,9192,3.09,3390.622004,0.01695326702446021
97,97,0.30492600000000003,2996,2.48,0.257065,6998,2.9,2712.499166,0.013562621433640535
98,98,0.322919,2083,2.34,0.274706,5199,2.73,2100.836771,0.010504281135305158
99,99,0.339065,1410,2.22,0.291189,3771,2.57,1576.155369,0.007880849829668485
100,100,0.356018,932,2.11,0.30866,2673,2.42,1156.856956,0.005784338348844214
101,101,0.373819,600,2.0,0.32718,1848,2.27,828.92004,0.004144638583560092
102,102,0.39250999999999997,376,1.89,0.34681,1243,2.14,578.66859,0.002893369745540614
103,103,0.41213500000000003,228,1.79,0.36761900000000003,812,2.0,392.47340800000006,0.0019623852136788997
104,104,0.432742,134,1.69,0.389676,514,1.88,258.280892,0.001291416419826835
105,105,0.454379,76,1.59,0.41305699999999995,313,1.76,163.81964499999998,0.0008191058107511998
106,106,0.47709799999999997,42,1.5,0.43783999999999995,184,1.64,100.60067599999999,0.0005030080383649884
107,107,0.500953,22,1.41,0.46411099999999994,103,1.53,58.82439899999999,0.0002941247188934335
108,108,0.526,11,1.33,0.491957,55,1.43,32.843635,0.00016421969584106647
109,109,0.5523,5,1.25,0.521475,28,1.33,17.3628,8.6814803993202e-05
110,110,0.579915,2,1.17,0.552763,13,1.24,8.345749,4.172913145411233e-05
111,111,0.608911,1,1.1,0.585929,6,1.15,4.124485,2.062261598635599e-05
112,112,0.639357,0,1.03,0.621085,2,1.06,1.24217,6.2109075193077e-06
113,113,0.671325,0,0.96,0.65835,1,0.98,0.65835,3.29178048522845e-06
